,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
310,3.22,317,914,58,29,102,15,113,0,Northern Baptist Theological Seminary,Lisle,IL,Entirely graduate-degree granting,Graduate degree,Private nonprofit,,Not online only,,,,4-year,16799476.0,,,,True
311,2.62,71,497,3,4,20,11,18,15,Oehrlein School of Cosmetology,East Peoria,IL,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,44.0,9429.0,13248.0,False
312,9.46,217,2190,6,5,48,26,88,44,Prairie State College,Chicago Heights,IL,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4176.0,11064.0,0.387,2-year,2621873.0,2300.0,8981.0,14638.0,False
313,6.16,269,1240,2,5,37,22,61,142,Principia College,Elsah,IL,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,0.9324,Not online only,30720.0,30720.0,0.8846,4-year,395656825.0,334.0,,,False
314,4.02,148,1451,37,4,23,22,58,4,Quincy University,Quincy,IL,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.6713,Not online only,31160.0,31160.0,0.4874,4-year,13370934.0,954.0,16466.0,41831.0,False
315,9.97,193,1741,24,5,27,15,65,57,Rockford University,Rockford,IL,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.5082,Not online only,33050.0,33050.0,0.385,4-year,24989903.0,1000.0,24103.0,43866.0,False
316,3.62,277,843,4,8,169,18,54,24,Roosevelt University,Chicago,IL,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.7652,Not online only,31493.0,31493.0,0.3338,4-year,124101536.0,2978.0,21678.0,44322.0,False
317,3.76,351,1160,15,62,26,34,61,153,Rush University,Chicago,IL,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,,Not online only,,,0.7461,4-year,641950000.0,104.0,,,False
318,6.93,524,1586,1,39,12,16,63,393,University of St Francis,Joliet,IL,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.6009,Not online only,35000.0,35000.0,0.885,4-year,21815121.0,1581.0,17102.0,42819.0,False
319,4.52,111,582,20,2,9,8,25,47,Southern Illinois University-Carbondale,Carbondale,IL,Predominantly bachelor's-degree granting,Graduate degree,Public,0.9178,Not online only,15104.0,15104.0,0.8072,4-year,153968634.0,8115.0,16285.0,29023.0,False
320,4.22,232,1092,18,24,8,12,81,89,Triton College,River Grove,IL,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4470.0,13530.0,0.3016,2-year,363868.0,6395.0,4816.0,10977.0,False
321,4.22,232,1092,18,24,8,12,81,89,Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,Chicago,IL,Not classified,Non-degree-granting,Public,,,2000.0,2000.0,,2-year,,,,,False
322,6.02,435,1448,3,13,22,22,48,327,Anderson University,Anderson,IN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.665,Not online only,32100.0,32100.0,1.0,4-year,32246000.0,1198.0,23046.0,44342.0,False
323,5.23,214,895,7,7,21,65,30,84,Butler University,Indianapolis,IN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.7569,Not online only,43400.0,43400.0,1.0,4-year,220516000.0,4404.0,39430.0,61623.0,False
324,2.12,7,38,1,0,4,1,1,0,Don Roberts School of Hair Design,Schererville,IN,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,22.0,16824.0,19008.0,False
325,4.12,313,1200,20,7,24,5,167,90,Franklin College,Franklin,IN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.7607,Not online only,33954.0,33954.0,0.7714,4-year,87386625.0,912.0,20535.0,46533.0,False
326,4.63,302,866,11,10,22,46,67,146,Hanover College,Hanover,IN,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,0.6932,Not online only,39650.0,39650.0,0.9358,4-year,146078010.0,1025.0,20732.0,52998.0,False
327,8.34,426,1416,7,67,78,27,50,197,Martin University,Indianapolis,IN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,,Not online only,13200.0,13200.0,0.8,4-year,,170.0,14764.0,23393.0,False
328,2.82,143,656,3,2,57,4,34,43,Mid-America College of Funeral Service,Jeffersonville,IN,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,,Not online only,12700.0,12700.0,,4-year,,92.0,16910.0,22581.0,False
329,1.92,130,612,0,3,23,17,50,37,University of Notre Dame,Notre Dame,IN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.1899,Not online only,57699.0,57699.0,0.8958,4-year,11565964000.0,8854.0,31101.0,74172.0,False
330,1.92,130,612,0,3,23,17,50,37,University of Notre Dame -,Chicago,IL,Not classified,Non-degree-granting,Private nonprofit,,,,,,4-year,,,,,False
331,5.96,306,883,24,15,16,1,32,218,Saint Meinrad School of Theology,St. Meinrad,IN,Entirely graduate-degree granting,Graduate degree,Private nonprofit,,Not online only,,,1.0,4-year,45851255.0,,,,False
332,4.54,117,422,3,0,36,27,26,25,Valparaiso University,Valparaiso,IN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8663,Not online only,43286.0,43286.0,0.7384,4-year,259042000.0,2719.0,22899.0,53847.0,False
333,4.03,125,1352,7,10,16,22,62,8,Vincennes University,Vincennes,IN,Predominantly associate's-degree granting,Bachelor's degree,Public,,Not online only,6251.0,14781.0,0.233,4-year,61980311.0,4850.0,11518.0,18741.0,False
334,3.12,118,801,8,1,27,27,32,23,Central College,Pella,IA,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,0.6368,Not online only,18600.0,18600.0,1.0,4-year,79746593.0,1091.0,21099.0,53402.0,False
335,5.13,156,557,3,7,25,28,42,51,Coe College,Cedar Rapids,IA,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,0.7986,Not online only,47220.0,47220.0,1.0,4-year,96775214.0,1363.0,20371.0,58857.0,False
336,3.62,109,382,3,6,20,18,41,21,Cornell College,Mount Vernon,IA,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,0.8241,Not online only,45914.0,45914.0,1.0,4-year,76288112.0,996.0,23694.0,58201.0,False
337,2.72,353,1593,1,13,68,24,71,176,Ellsworth Community College,Iowa Falls,IA,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4968.0,5904.0,1.0,2-year,,587.0,10846.0,16181.0,False
338,4.92,569,1611,44,23,22,30,50,400,La James International College-Cedar Falls,Cedar Falls,IA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,2-year,,18.0,16296.0,23558.0,False
339,4.92,569,1611,44,23,22,30,50,400,La James International College-Johnston,Johnston,IA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,2-year,,54.0,23569.0,26717.0,False
340,4.92,569,1611,44,23,22,30,50,400,La James International College-Ft Dodge,Fort Dodge,IA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,2-year,,22.0,16304.0,21649.0,False
341,4.92,569,1611,44,23,22,30,50,400,La James International College-Davenport,Davenport,IA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,2-year,,60.0,16836.0,20418.0,False
342,8.03,186,825,12,38,19,23,36,58,La James College of Hairstyling and Cosmetology,Mason City,IA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,2-year,,54.0,7540.0,14331.0,False
343,5.32,111,872,19,20,8,17,25,22,Loras College,Dubuque,IA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.5838,Not online only,35218.0,35218.0,0.8209,4-year,40621690.0,1239.0,21629.0,46290.0,False
344,5.03,111,840,10,4,10,18,37,32,Northwestern College,Orange City,IA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.7377,Not online only,32920.0,32920.0,1.0,4-year,56662773.0,1040.0,22410.0,45760.0,False
345,8.24,196,1292,1,4,79,29,58,25,Northwest Iowa Community College,Sheldon,IA,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,6390.0,6690.0,0.2609,2-year,3911983.0,838.0,10831.0,16895.0,False
346,3.53,121,513,16,1,28,26,50,0,Southeastern Community College,West Burlington,IA,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,5910.0,6060.0,1.0,2-year,6761205.0,2210.0,7005.0,12365.0,False
347,4.93,115,524,0,4,21,30,11,49,Western Iowa Tech Community College,Sioux City,IA,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,4488.0,4512.0,0.3231,2-year,2957700.0,2804.0,8309.0,13677.0,False
348,3.72,229,1159,1,4,36,28,61,99,Coffeyville Community College,Coffeyville,KS,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,3040.0,4608.0,0.7049,2-year,10177165.0,970.0,6214.0,11650.0,False
349,3.72,229,1159,1,4,36,28,61,99,Coffeyville Technical Campus,Coffeyville,KS,Not classified,Non-degree-granting,Public,,,3040.0,4608.0,,Less-than-2-year,,,,,False
350,3.72,229,1159,1,4,36,28,61,99,Columbus Technical Campus,Columbus,KS,Not classified,Non-degree-granting,Public,,,3040.0,4608.0,,Less-than-2-year,,,,,False
351,3.23,198,590,2,0,22,13,22,139,University of Kansas,Lawrence,KS,Predominantly bachelor's-degree granting,Graduate degree,Public,0.9093,Not online only,11166.0,28034.0,0.846,4-year,1842170498.0,18438.0,20257.0,26204.0,False
352,8.23,362,2223,9,32,70,36,71,144,MidAmerica Nazarene University,Olathe,KS,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.6376,Not online only,32872.0,32872.0,1.0,4-year,13612468.0,1099.0,29757.0,48863.0,False
353,3.42,230,759,1,48,20,28,33,100,Pratt Community College,Pratt,KS,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,3680.0,4296.0,0.973,2-year,4852433.0,622.0,9158.0,13819.0,False
354,3.02,90,544,1,7,10,21,41,10,Berea College,Berea,KY,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,0.3296,Not online only,45092.0,45092.0,0.8777,4-year,1218740000.0,1432.0,5222.0,54866.0,False
355,3.02,119,605,0,3,3,39,46,28,Centre College,Danville,KY,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,0.7208,Not online only,44300.0,44300.0,0.932,4-year,330599920.0,1333.0,21426.0,56645.0,False
356,3.92,126,586,12,19,14,14,50,17,The Southern Baptist Theological Seminary,Louisville,KY,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.7726,Not online only,11896.0,11896.0,1.0,4-year,93366019.0,794.0,,,False
357,4.12,143,890,0,1,24,34,77,7,Spalding University,Louisville,KY,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9343,Not online only,25975.0,25975.0,0.6513,4-year,20739496.0,842.0,21976.0,38163.0,False
358,4.12,202,636,0,6,30,19,47,100,Western Kentucky University,Bowling Green,KY,Predominantly bachelor's-degree granting,Graduate degree,Public,0.9775,Not online only,10802.0,26496.0,0.7241,4-year,15592110.0,13086.0,12522.0,21084.0,False
359,3.73,214,1195,1,18,6,28,41,120,Cloyd's Beauty School 1 Inc,West Monroe,LA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,43.0,6353.0,9998.0,False
360,3.73,214,1195,1,18,6,28,41,120,Cloyd's Beauty School 3 Inc,Monroe,LA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,75.0,6042.0,11640.0,False
361,4.93,166,674,25,4,31,24,56,26,Crescent City Bartending School,New Orleans,LA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,268.0,16529.0,19829.0,False
362,3.82,172,709,1,6,42,24,39,60,Delgado Community College,New Orleans,LA,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,4079.0,4079.0,0.4168,2-year,2649515.0,12312.0,8311.0,13584.0,False
363,3.22,244,797,20,35,3,35,28,123,Louisiana State University-Shreveport,Shreveport,LA,Predominantly bachelor's-degree granting,Graduate degree,Public,0.8268,Not online only,7160.0,20314.0,0.6513,4-year,23688778.0,2290.0,8703.0,19065.0,False
364,5.22,444,2346,6,9,46,8,60,315,McNeese State University,Lake Charles,LA,Predominantly bachelor's-degree granting,Graduate degree,Public,0.633,Not online only,8382.0,16420.0,1.0,4-year,21540782.0,5825.0,10759.0,19489.0,False
365,4.52,166,1191,9,3,20,31,59,44,Northwestern State University of Louisiana,Natchitoches,LA,Predominantly bachelor's-degree granting,Graduate degree,Public,0.9485,Not online only,8672.0,19460.0,0.5947,4-year,16200985.0,8181.0,13483.0,22940.0,False
366,2.82,130,609,0,10,24,26,47,23,Pat Goins Benton Road Beauty School,Bossier City,LA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,105.0,10314.0,15440.0,False
367,3.83,118,621,11,6,23,20,30,28,Celebrity Stylist Beauty School,Monroe,LA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,32.0,19184.0,25463.0,False
368,3.83,118,621,11,6,23,20,30,28,Celebrity Barber School,Monroe,LA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,25.0,19686.0,25463.0,False
369,2.44,45,328,0,0,17,3,15,10,Pineville Beauty School,Pineville,LA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,52.0,9880.0,15051.0,False
370,2.54,490,989,8,16,21,27,42,376,Southern University and A & M College,Baton Rouge,LA,Predominantly bachelor's-degree granting,Graduate degree,Public,0.4345,Not online only,9340.0,16720.0,0.9331,4-year,9581946.0,5350.0,17104.0,23592.0,False
371,3.73,194,775,8,1,27,10,45,103,Tulane University of Louisiana,New Orleans,LA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.1111,Not online only,58852.0,58852.0,0.6689,4-year,1423305000.0,8537.0,39749.0,75628.0,False
372,7.03,210,1254,12,2,16,77,102,1,College of the Atlantic,Bar Harbor,ME,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.758,Not online only,43542.0,43542.0,1.0,4-year,61102324.0,364.0,21293.0,54899.0,False
373,3.23,116,974,3,3,21,23,51,15,Central Maine Community College,Auburn,ME,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,3844.0,6724.0,0.2811,2-year,585955.0,2178.0,10316.0,14522.0,False
374,3.92,138,1179,4,8,22,20,61,23,University of Maine,Orono,ME,Predominantly bachelor's-degree granting,Graduate degree,Public,0.9221,Not online only,11744.0,32534.0,0.7032,4-year,333702000.0,8870.0,16033.0,24581.0,False
375,3.92,107,733,3,2,21,25,47,9,Northern Maine Community College,Presque Isle,ME,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,3830.0,6710.0,0.6852,2-year,5492932.0,532.0,9352.0,15968.0,False
376,4.22,670,2469,121,30,119,13,65,322,Spa Tech Institute-Westbrook,Westbrook,ME,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,226.0,16060.0,18118.0,True
377,4.22,670,2469,121,30,119,13,65,322,Spa Tech Institute-Ipswich,Ipswich,MA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,73.0,12773.0,16477.0,True
378,4.22,670,2469,121,30,119,13,65,322,Spa Tech Institute-Westboro,Westborough,MA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,164.0,15952.0,17905.0,True
379,4.22,670,2469,121,30,119,13,65,322,Spa Tech Institute-Plymouth,Plymouth,MA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,190.0,16188.0,19034.0,True
380,3.82,412,978,11,28,28,25,66,254,Thomas College,Waterville,ME,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,,Not online only,28430.0,28430.0,0.4795,4-year,13611982.0,757.0,21844.0,40911.0,False
381,10.64,334,1547,3,31,45,36,47,172,Allegany College of Maryland,Cumberland,MD,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4730.0,10280.0,0.5304,2-year,14286321.0,1745.0,10673.0,16209.0,False
382,5.03,164,857,10,16,26,4,32,76,Award Beauty School,Hagerstown,MD,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,102.0,18545.0,20851.0,False
383,3.23,200,957,0,0,17,36,80,67,Cecil College,North East,MD,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4740.0,9480.0,0.3375,2-year,6675830.0,1562.0,8817.0,12353.0,False
384,3.23,200,957,0,0,17,36,80,67,Cecil College - Elkton Station,Elkton,MD,Not classified,Non-degree-granting,Public,,,4740.0,9480.0,,2-year,,,,,False
385,4.83,519,909,1,5,29,47,46,391,College of Southern Maryland,La Plata,MD,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,3930.0,8820.0,0.2701,2-year,8166002.0,5517.0,6873.0,12100.0,False
386,3.12,446,1520,11,2,148,30,75,180,Coppin State University,Baltimore,MD,Predominantly bachelor's-degree granting,Graduate degree,Public,0.402,Not online only,6716.0,13113.0,0.5062,4-year,11928819.0,2084.0,10105.0,17787.0,False
387,4.32,178,932,22,11,44,51,38,12,Frederick Community College,Frederick,MD,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,3748.0,9772.0,0.2853,2-year,11643549.0,3988.0,4879.0,9455.0,False
388,8.43,157,1020,2,24,40,35,46,10,Howard Community College,Columbia,MD,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4080.0,7680.0,0.2774,2-year,10863022.0,7715.0,10329.0,15531.0,False
389,2.82,319,1405,48,5,44,27,138,57,University of Maryland Baltimore,Baltimore,MD,Predominantly bachelor's-degree granting,Graduate degree,Public,,Not online only,,,0.4133,4-year,359159271.0,863.0,,,False
390,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Towson,Towson,MD,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,558.0,23401.0,27835.0,False
391,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Wayne,Wayne,NJ,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,521.0,18055.0,24520.0,False
392,8.04,893,2454,45,11,23,204,153,457,Fortis College,Mobile,AL,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,399.0,16277.0,21137.0,False
393,8.04,893,2454,45,11,23,204,153,457,Fortis College-Smyrna,Smyrna,GA,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,14630.0,14630.0,0.1786,2-year,,678.0,19931.0,26025.0,False
394,8.04,893,2454,45,11,23,204,153,457,Fortis College-Richmond,Richmond,VA,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,13557.0,13557.0,0.3714,2-year,,507.0,20922.0,26655.0,False
395,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Scranton,Scranton,PA,Predominantly associate's-degree granting,Associate degree,Private for-profit,,Not online only,28087.0,28087.0,0.1667,2-year,,279.0,33445.0,39734.0,False
396,8.04,893,2454,45,11,23,204,153,457,Fortis College,Houston,TX,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,,,0.1667,2-year,,394.0,23244.0,28090.0,False
397,8.04,893,2454,45,11,23,204,153,457,Fortis College-Foley,Foley,AL,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,87.0,19980.0,24388.0,False
398,8.04,893,2454,45,11,23,204,153,457,Fortis College-Baton Rouge,Baton Rouge,LA,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,15030.0,15030.0,0.4063,2-year,,408.0,24999.0,31113.0,False
399,8.04,893,2454,45,11,23,204,153,457,Fortis College-Orange Park,Orange Park,FL,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,15060.0,15060.0,0.2121,2-year,,489.0,22510.0,28348.0,False
400,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Port Saint Lucie,Port Saint Lucie,FL,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,17618.0,17618.0,0.3333,2-year,,474.0,21452.0,26736.0,False
401,8.04,893,2454,45,11,23,204,153,457,Fortis College-Cincinnati,Cincinnati,OH,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,15112.0,15112.0,0.4318,2-year,,587.0,21163.0,27294.0,False
402,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Nashville,Nashville,TN,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,15764.0,15764.0,0.35,2-year,,475.0,24864.0,30882.0,False
403,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Pensacola,Pensacola,FL,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,14244.0,14244.0,0.2344,2-year,,705.0,21779.0,27573.0,False
404,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Birmingham,Birmingham,AL,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,13649.0,13649.0,0.2326,2-year,,551.0,15097.0,21441.0,False
405,8.04,893,2454,45,11,23,204,153,457,Fortis Institute,Houston,TX,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,,,0.2813,2-year,,390.0,18290.0,23089.0,False
406,8.04,893,2454,45,11,23,204,153,457,Fortis College-Columbia,Columbia,SC,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,14109.0,14109.0,0.3125,2-year,,569.0,22620.0,28423.0,False
407,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Lawrenceville,Lawrenceville,NJ,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,314.0,18612.0,23547.0,False
408,8.04,893,2454,45,11,23,204,153,457,Fortis College-Cuyahoga Falls,Cuyahoga Falls,OH,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,14421.0,14421.0,0.2432,2-year,,575.0,20688.0,25662.0,False
409,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Cookeville,Cookeville,TN,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,15325.0,15325.0,0.52,2-year,,302.0,21137.0,25929.0,False
410,8.04,893,2454,45,11,23,204,153,457,Fortis College-Landover,Landover,MD,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,15211.0,15211.0,0.3478,2-year,,712.0,22318.0,27659.0,False
411,5.03,780,1448,4,0,237,13,187,339,Morgan State University,Baltimore,MD,Predominantly bachelor's-degree granting,Graduate degree,Public,0.7359,Not online only,7628.0,20251.0,0.7508,4-year,40530831.0,6263.0,17351.0,23254.0,False
412,3.74,623,1468,6,84,92,35,76,330,Mount St. Mary's University,Emmitsburg,MD,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8045,Not online only,43650.0,43650.0,1.0,4-year,54281563.0,2009.0,27394.0,57867.0,False
413,3.32,230,856,0,2,15,28,50,135,Salisbury University,Salisbury,MD,Predominantly bachelor's-degree granting,Graduate degree,Public,0.7762,Not online only,10044.0,20110.0,0.7017,4-year,72886336.0,7023.0,18402.0,25057.0,False
414,6.43,607,1094,0,0,16,50,60,481,Towson University,Towson,MD,Predominantly bachelor's-degree granting,Graduate degree,Public,0.788,Not online only,10198.0,24334.0,0.5513,4-year,87847763.0,18629.0,18105.0,25697.0,False
415,3.83,255,905,17,14,110,18,19,77,Hult International Business School,Cambridge,MA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.4515,Not online only,49950.0,49950.0,0.2627,4-year,,624.0,38773.0,62875.0,False
416,8.54,264,1453,0,0,34,16,100,114,Assabet Valley Regional Technical School,Marlborough,MA,Predominantly certificate-degree granting,Certificate degree,Public,0.6667,Not online only,,,,Less-than-2-year,,46.0,12662.0,17037.0,False
417,2.12,58,368,3,0,8,12,16,19,Becker College,Worcester,MA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8296,Not online only,40150.0,40150.0,0.2163,4-year,5116037.0,1547.0,32785.0,55633.0,False
418,2.52,74,309,0,1,1,8,30,34,Berkshire Community College,Pittsfield,MA,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,5492.0,11520.0,0.4067,2-year,6215100.0,1164.0,8003.0,14877.0,False
419,6.13,85,344,4,30,5,15,26,5,Catherine Hinds Institute of Esthetics,Woburn,MA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,326.0,17150.0,23236.0,False
420,2.52,910,1986,5,1,199,22,82,601,Framingham State University,Framingham,MA,Predominantly bachelor's-degree granting,Graduate degree,Public,0.7853,Not online only,11380.0,17460.0,0.6478,4-year,45557196.0,3384.0,19535.0,25810.0,False
421,4.33,309,908,4,23,45,47,57,133,Lasell University,Newton,MA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8454,Not online only,39000.0,39000.0,0.3744,4-year,43224620.0,1481.0,26666.0,54730.0,False
422,8.74,774,2424,15,8,56,103,123,469,Mount Wachusett Community College,Gardner,MA,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,5668.0,10588.0,1.0,2-year,4510057.0,2757.0,8582.0,13771.0,False
423,2.62,241,734,9,19,9,34,67,103,New England College of Optometry,Boston,MA,Entirely graduate-degree granting,Graduate degree,Private nonprofit,,Not online only,,,0.6901,4-year,10687888.0,,,,False
424,3.22,334,1041,0,1,2,81,56,194,Northeastern University,Boston,MA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.2048,Not online only,55452.0,55452.0,0.7488,4-year,982499466.0,15130.0,29714.0,73196.0,False
425,3.22,334,1041,0,1,2,81,56,194,Northeastern University Professional Programs,Boston,MA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,,Not online only,,,0.11,4-year,92092534.0,2004.0,,,False
426,4.52,220,1048,17,8,15,10,82,88,Pope St John XXIII National Seminary,Weston,MA,Entirely graduate-degree granting,Graduate degree,Private nonprofit,,Not online only,,,1.0,4-year,4541246.0,,,,False
427,5.86,243,765,17,12,11,10,51,142,Saint John's Seminary,Brighton,MA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,,Not online only,,,1.0,4-year,35223337.0,15.0,,,False
428,4.83,214,810,1,12,17,34,68,82,Simmons University,Boston,MA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8255,Not online only,41917.0,41917.0,0.2653,4-year,195674187.0,1731.0,27920.0,60221.0,False
429,5.93,411,1028,4,19,11,52,60,265,Suffolk University,Boston,MA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.859,Not online only,41648.0,41648.0,0.5837,4-year,256299963.0,4397.0,30995.0,57850.0,False
430,3.62,87,444,2,23,8,12,17,25,Hillsdale Beauty College,Hillsdale,MI,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,18.0,10599.0,13452.0,False
431,3.62,87,444,2,23,8,12,17,25,Hillsdale Beauty College,Coldwater,MI,Not classified,Non-degree-granting,Private for-profit,,,,,,Less-than-2-year,,,,,False
432,3.82,164,982,8,45,13,18,38,42,Northwestern Technological Institute,Southfield,MI,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,852.0,31703.0,34903.0,False
