,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
799,4.93,209,883,8,1,36,43,25,96,Venus Beauty Academy,Sharon Hill,PA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,78.0,21232.0,24330.0,False
800,4.43,322,1078,2,0,56,18,70,176,Villanova University,Villanova,PA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.3066,Not online only,57460.0,57460.0,0.656,4-year,743061000.0,6980.0,43577.0,73042.0,False
801,3.22,144,1086,3,3,12,34,26,66,Wilson College,Chambersburg,PA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.922,Not online only,26090.0,26090.0,1.0,4-year,55337694.0,735.0,21852.0,37019.0,False
802,5.53,285,1278,9,0,40,41,99,96,Roger Williams University,Bristol,RI,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8601,Not online only,38274.0,38274.0,0.3929,4-year,67137524.0,4224.0,36054.0,54865.0,False
803,5.43,875,2131,7,12,41,24,46,745,Charleston Southern University,Charleston,SC,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.5379,Not online only,28100.0,28100.0,0.6612,4-year,19391285.0,2698.0,17671.0,40177.0,False
804,5.63,150,943,2,0,17,23,59,49,Citadel Military College of South Carolina,Charleston,SC,Predominantly bachelor's-degree granting,Graduate degree,Public,0.7995,Not online only,12620.0,35876.0,0.6801,4-year,314435346.0,2828.0,18559.0,30022.0,False
805,3.02,278,1474,38,29,47,59,37,68,Columbia International University,Columbia,SC,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.5067,Not online only,24650.0,24650.0,0.9388,4-year,4685214.0,731.0,18222.0,36979.0,False
806,2.72,192,689,1,0,4,29,54,104,Converse University,Spartanburg,SC,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8244,Not online only,20500.0,20500.0,0.9545,4-year,82411866.0,737.0,25534.0,33858.0,False
807,3.62,1120,2263,6,8,45,53,223,785,Limestone University,Gaffney,SC,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.6829,Not online only,26300.0,26300.0,1.0,4-year,24796539.0,1817.0,25160.0,42137.0,False
808,7.85,421,1346,0,2,56,78,110,175,North Greenville University,Tigerville,SC,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.6533,Not online only,22050.0,22050.0,0.7692,4-year,34748925.0,1731.0,20058.0,37771.0,False
