status.success,status.httpstatuscode,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.creditsremaining,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.description,categories.error.count,categories.contrast.description,categories.contrast.count,categories.alert.description,categories.alert.count,categories.feature.description,categories.feature.count,categories.structure.description,categories.structure.count,categories.aria.description,categories.aria.count,status.error
TRUE,200,Cosmetology School in Texas | William Edge Institute,williamedgeinstitute.com,6.32,1004,617,1823,http://wave.webaim.org/report?url=williamedgeinstitute.com/,Errors,67,Contrast Errors,5,Alerts,72,Features,5,Structural Elements,35,ARIA,433,
TRUE,200,Celebrating 75 Years of Innovation and Achievement | Utica University,utica.edu,3.82,1003,194,765,http://wave.webaim.org/report?url=https://www.utica.edu/,Errors,0,Contrast Errors,3,Alerts,32,Features,37,Structural Elements,64,ARIA,58,
TRUE,200,Institute of Medical Ultrasound,imu.edu,5.43,1002,36,241,http://wave.webaim.org/report?url=www.imu.edu/,Errors,2,Contrast Errors,3,Alerts,2,Features,6,Structural Elements,18,ARIA,5,
TRUE,404,Not Found,relay.edu/location/relay-memphis,3.42,1001,82,192,http://wave.webaim.org/report?url=relay.edu/location/relay-memphis,Errors,4,Contrast Errors,0,Alerts,9,Features,4,Structural Elements,14,ARIA,51,
TRUE,200,Home - Washington Barber CollegeWashington Barber College | Developing World Class Professionals,washingtonbarbercollege.edu,4.83,1000,99,421,http://wave.webaim.org/report?url=www.washingtonbarbercollege.edu/,Errors,4,Contrast Errors,7,Alerts,50,Features,12,Structural Elements,25,ARIA,1,
TRUE,200,Joseph's College :: Nebraska Cosmetology College,josephscollege.edu,3.13,999,114,891,http://wave.webaim.org/report?url=josephscollege.edu/,Errors,21,Contrast Errors,30,Alerts,22,Features,19,Structural Elements,21,ARIA,1,
TRUE,200,College Campus Locations | Strayer University,strayer.edu/campus-locations/new-jersey/willingboro,8.33,998,1181,2787,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/new-jersey/willingboro,Errors,5,Contrast Errors,1,Alerts,39,Features,190,Structural Elements,123,ARIA,823,
TRUE,200,Home | Arcadia University,arcadia.edu,4.32,997,470,2862,http://wave.webaim.org/report?url=https://www.arcadia.edu/,Errors,0,Contrast Errors,4,Alerts,22,Features,61,Structural Elements,177,ARIA,206,
TRUE,200,Victor Valley College,vvc.edu,7.93,996,662,2069,http://wave.webaim.org/report?url=www.vvc.edu/,Errors,2,Contrast Errors,38,Alerts,99,Features,65,Structural Elements,110,ARIA,348,
TRUE,200,Home | Rowan College of South Jersey,rcsj.edu,6.33,995,375,924,http://wave.webaim.org/report?url=https://www.rcsj.edu/,Errors,2,Contrast Errors,3,Alerts,24,Features,53,Structural Elements,73,ARIA,220,
TRUE,200,Diablo Valley College,dvc.edu,8.07,994,243,928,http://wave.webaim.org/report?url=https://www.dvc.edu/,Errors,1,Contrast Errors,6,Alerts,78,Features,25,Structural Elements,73,ARIA,60,
TRUE,200,Home | Southeastern Oklahoma State University,se.edu,3.87,993,166,897,http://wave.webaim.org/report?url=www.se.edu/,Errors,1,Contrast Errors,16,Alerts,22,Features,32,Structural Elements,57,ARIA,38,
TRUE,200,Home | SUNY Maritime College,sunymaritime.edu,3.32,992,607,932,http://wave.webaim.org/report?url=www.sunymaritime.edu/,Errors,0,Contrast Errors,1,Alerts,165,Features,34,Structural Elements,49,ARIA,358,
TRUE,200,Welcome to UHart - University of Hartford,hartford.edu,5.52,991,344,2614,http://wave.webaim.org/report?url=www.hartford.edu/,Errors,12,Contrast Errors,55,Alerts,38,Features,6,Structural Elements,68,ARIA,165,
TRUE,200,MACC Homepage | MACC,macc.edu,4.82,990,774,3144,http://wave.webaim.org/report?url=www.macc.edu/,Errors,16,Contrast Errors,89,Alerts,39,Features,13,Structural Elements,245,ARIA,372,
TRUE,200,"South University Richmond (Glen Allen), VA Campus | Programs & Degrees",southuniversity.edu/richmond,7.73,989,837,1831,http://wave.webaim.org/report?url=www.southuniversity.edu/richmond,Errors,24,Contrast Errors,8,Alerts,25,Features,81,Structural Elements,113,ARIA,586,
TRUE,200,Oral Roberts University | Spirit-Empowered Christian Education,oru.edu,3.52,988,129,663,http://wave.webaim.org/report?url=https://oru.edu/,Errors,11,Contrast Errors,5,Alerts,11,Features,7,Structural Elements,49,ARIA,46,
TRUE,200,Home - Rolla Technical Institute/Center,rtirtc.rolla31.org,4.32,987,263,1013,http://wave.webaim.org/report?url=https://rtirtc.rolla31.org/,Errors,9,Contrast Errors,1,Alerts,15,Features,9,Structural Elements,57,ARIA,172,
TRUE,200,ROCKFORD CAREER COLLEGE | Building great futures since 1862.,rockfordcareercollege.edu,3.32,986,220,925,http://wave.webaim.org/report?url=https://www.rockfordcareercollege.edu/,Errors,26,Contrast Errors,95,Alerts,24,Features,21,Structural Elements,53,ARIA,1,
TRUE,200,LSU Health Shreveport - Teach. Heal. Discover.,lsuhs.edu,7.13,985,2717,4360,http://wave.webaim.org/report?url=www.lsuhs.edu/,Errors,112,Contrast Errors,12,Alerts,340,Features,6,Structural Elements,193,ARIA,2054,
TRUE,200,Central School of Practical Nursing / Overview,npsk12.com/domain/980,4.02,984,777,1635,http://wave.webaim.org/report?url=https://www.npsk12.com/domain/980,Errors,1,Contrast Errors,1,Alerts,33,Features,15,Structural Elements,56,ARIA,671,
