,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.count,categories.contrast.count,categories.alert.count,categories.feature.count,categories.structure.count,categories.aria.count
163,Kent State Tuscarawas | Kent State University,kent.edu/tusc,5.12,388,1269,http://wave.webaim.org/report?url=www.kent.edu/tusc,7,2,45,28,50,256
164,"ABC Adult School - affordable, professional training in Southern California",abcadultschool.edu,5.22,601,1672,http://wave.webaim.org/report?url=https://www.abcadultschool.edu/,1,2,77,48,89,384
165,University of West Los Angeles,uwla.edu,3.82,369,940,http://wave.webaim.org/report?url=www.uwla.edu/,0,1,65,26,69,208
166,Winona State University - A Community of Learners Improving Our World,winona.edu,3.02,131,837,http://wave.webaim.org/report?url=www.winona.edu/,26,16,5,13,49,22
167,Dallas College: Education That Works in Dallas County,dallascollege.edu/pages/default.aspx,6.64,270,1202,http://wave.webaim.org/report?url=www.dallascollege.edu/pages/default.aspx,6,4,16,14,87,143
168,"UMB Home - The University of Maryland, Baltimore",umaryland.edu,2.82,319,1405,http://wave.webaim.org/report?url=www.umaryland.edu/,48,5,44,27,138,57
169,"The Institute of Beauty and Wellness | Milwaukee, WI | Madison, WI",ibw.edu,8.95,423,2250,http://wave.webaim.org/report?url=www.ibw.edu/,21,30,119,91,69,93
170,Beauty School in Largo & St. Petersburg FL | American Institute of Beauty,aibschool.edu,7.33,411,1534,http://wave.webaim.org/report?url=www.aibschool.edu/,36,3,45,46,49,232
171,Home | Alabama State University,alasu.edu,17.46,2243,11440,http://wave.webaim.org/report?url=www.alasu.edu/,8,1069,295,805,51,15
172,Trenz Beauty Academy | Cosmetology School |Calumet City | Chicago,trenzbeautyacademy.com,4.62,47,223,http://wave.webaim.org/report?url=www.trenzbeautyacademy.com/,3,5,12,7,17,3
173,Community College of Beaver County,ccbc.edu,16.26,243,665,http://wave.webaim.org/report?url=https://www.ccbc.edu/,25,63,17,17,38,83
174,Digital Arts College | Studio Arts Campus | Media Arts Production | Living Arts College,living-arts-college.edu,5.73,170,946,http://wave.webaim.org/report?url=living-arts-college.edu/,0,14,44,4,42,66
175,Art and Design School | Academy of Art University,academyart.edu,16.97,666,2212,http://wave.webaim.org/report?url=www.academyart.edu/,42,6,89,44,85,400
176,Meadville Lombard Theological School,meadville.edu,3.83,367,1072,http://wave.webaim.org/report?url=www.meadville.edu/,4,26,41,100,86,110
177,Home,lmunet.edu,3.72,212,865,http://wave.webaim.org/report?url=www.lmunet.edu/,0,23,9,58,42,80
178,Franciscan University of Steubenville | Academically Excellent Passionately Catholic,franciscan.edu,7.92,296,1594,http://wave.webaim.org/report?url=www.franciscan.edu/,18,26,75,47,43,87
179,"Vaughn College of Aeronautic Engineering, Aviation, and Technology",vaughn.edu,7.83,208,1149,http://wave.webaim.org/report?url=www.vaughn.edu/,5,7,29,44,37,86
180,"Adams State University in Alamosa, Colorado",adams.edu,5.82,121,631,http://wave.webaim.org/report?url=www.adams.edu/,2,0,36,22,32,29
181,AMDA | College and Conservatory of the Performing Arts,amda.edu,4.83,204,985,http://wave.webaim.org/report?url=www.amda.edu/,0,11,23,69,99,2
182,"South University Virginia Beach, VA Campus | Programs & Degrees",southuniversity.edu/virginia-beach,6.65,837,1820,http://wave.webaim.org/report?url=www.southuniversity.edu/virginia-beach,24,8,23,83,114,585
183,Home | University of Tampa,ut.edu,4.92,114,621,http://wave.webaim.org/report?url=https://www.ut.edu/,3,4,16,18,28,45
184,Putnam Career & Technical Center | Home,pctc.edu,3.32,80,461,http://wave.webaim.org/report?url=www.pctc.edu/,4,1,1,11,19,44
185,USCGA - United States Coast Guard Academy,uscga.edu,4.63,334,2112,http://wave.webaim.org/report?url=https://www.uscga.edu/,3,29,50,42,80,130
186,Mountain State School of Massage,mtnstmassage.com,2.12,29,114,http://wave.webaim.org/report?url=www.mtnstmassage.com/,5,10,2,3,9,0
187,Saint Meinrad Seminary and School of Theology,saintmeinrad.edu,5.96,306,883,http://wave.webaim.org/report?url=https://www.saintmeinrad.edu/,24,15,16,1,32,218
188,Home - Ellsworth Community College,ecc.iavalley.edu,2.72,353,1593,http://wave.webaim.org/report?url=https://ecc.iavalley.edu/,1,13,68,24,71,176
189,Cosmetology & Beauty School Fort Lauderdale | Paul Mitchell,paulmitchell.edu/fortlauderdale,2.62,79,454,http://wave.webaim.org/report?url=https://paulmitchell.edu/fortlauderdale,0,3,18,13,27,18
190,Leech Lake Tribal College: #ComeFindYourPlace & Apply Today!,lltc.edu,7.33,383,1751,http://wave.webaim.org/report?url=www.lltc.edu/,4,58,39,38,100,144
191,Omega Recording Studios - Maryland's Recording Studios Since 1968,omegastudios.com,5.63,156,775,http://wave.webaim.org/report?url=www.omegastudios.com/,0,39,15,14,54,34
192,Home - Assabet - Do.More.,assabet.org,8.54,264,1453,http://wave.webaim.org/report?url=www.assabet.org/,0,0,34,16,100,114
193,SUNY Morrisville,morrisville.edu,2.73,107,779,http://wave.webaim.org/report?url=www.morrisville.edu/,3,2,8,16,29,49
194,Blue Ridge CTC,blueridgectc.edu,15.35,2564,5044,http://wave.webaim.org/report?url=www.blueridgectc.edu/,14,0,17,296,473,1764
195,"Cosmetology & Beauty School Schenectady, NY | Paul Mitchell",paulmitchell.edu/schenectady,2.72,84,473,http://wave.webaim.org/report?url=paulmitchell.edu/schenectady,0,3,17,18,27,19
196,University of Wisconsin-Whitewater,uww.edu,3.52,115,806,http://wave.webaim.org/report?url=www.uww.edu/,26,0,13,29,44,3
197,"Park University is a private, nonprofit, liberal arts institution",park.edu,4.13,145,832,http://wave.webaim.org/report?url=www.park.edu/,12,9,22,22,68,12
198,Lexington Healing Arts Academy - Lexington Kentucky Massage Therapy School & More,lexingtonhealingarts.com,3.22,145,789,http://wave.webaim.org/report?url=www.lexingtonhealingarts.com/,20,23,17,7,46,32
199,RVU-SU Welcomes Three New Members to its Executive Advisory Council - Rocky Vista University,rvu.edu/rvu-su,4.12,76,652,http://wave.webaim.org/report?url=www.rvu.edu/rvu-su/,0,16,15,18,22,5
200,Homepage - Jackson State University,jsums.edu,3.22,171,1441,http://wave.webaim.org/report?url=https://www.jsums.edu/,35,27,27,17,64,1
201,"East Central University - Ada, Ok",ecok.edu,4.44,171,938,http://wave.webaim.org/report?url=https://www.ecok.edu/,6,10,47,27,65,16
