,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.count,categories.contrast.count,categories.alert.count,categories.feature.count,categories.structure.count,categories.aria.count
135,New York State Barber School | Sharp Edgez Barber Institute,sharpedgez.com,2.52,65,367,http://wave.webaim.org/report?url=www.sharpedgez.com/,2,9,22,25,3,4
136,Trinidad State College Home Page,trinidadstate.edu,3.62,174,627,http://wave.webaim.org/report?url=www.trinidadstate.edu/,0,0,5,15,59,95
137,Christian College | Southwestern Christian College | Terrell,swcc.edu,3.53,211,831,http://wave.webaim.org/report?url=www.swcc.edu/,0,26,19,6,25,135
138,Paul Quinn College,pqc.edu,3.32,396,1030,http://wave.webaim.org/report?url=www.pqc.edu/,4,3,7,24,25,333
139,Xavier College School of Nursing,xavier-college.com,4.42,25,146,http://wave.webaim.org/report?url=www.xavier-college.com/,2,0,8,5,10,0
140,LTC Homepage | IECC,iecc.edu/ltc,5.12,185,1612,http://wave.webaim.org/report?url=www.iecc.edu/ltc,0,0,5,25,69,86
141,Houghton University | Nationally Ranked Christian University,houghton.edu,4.92,280,671,http://wave.webaim.org/report?url=www.houghton.edu/,3,6,35,7,82,147
142,Home - CNEI,cnei.edu,6.13,571,1439,http://wave.webaim.org/report?url=https://www.cnei.edu/,25,13,91,57,85,300
143,Home - Roberto-Venn,roberto-venn.com,4.32,225,780,http://wave.webaim.org/report?url=www.roberto-venn.com/,2,31,25,14,33,120
144,"White Marsh, MD Campus | Strayer University",strayer.edu/campus-locations/maryland/white-marsh,8.02,884,2334,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/maryland/white-marsh,3,14,46,82,79,660
145,Home - Principia College,principiacollege.edu,6.16,269,1240,http://wave.webaim.org/report?url=www.principiacollege.edu/,2,5,37,22,61,142
146,Stellar Career College – Accredited Career College Chicago,stellarcollege.edu,4.13,356,1253,http://wave.webaim.org/report?url=https://stellarcollege.edu/,31,52,95,18,89,71
147,"Southeast Texas Career Institute, LLC -",setxci.com,2.42,78,368,http://wave.webaim.org/report?url=www.setxci.com/,6,25,3,4,19,21
148,Go Oswego | SUNY Oswego,oswego.edu,4.53,130,640,http://wave.webaim.org/report?url=https://www.oswego.edu/,0,0,4,13,50,63
149,Neo-Esthetique European Institute en San Juan,institutoneo.com,5.43,126,689,http://wave.webaim.org/report?url=www.institutoneo.com/,9,4,21,18,47,27
150,Saint Francis University | Saint Francis University,francis.edu,3.73,266,1160,http://wave.webaim.org/report?url=www.francis.edu/,5,12,54,52,100,43
151,McCormick Theological Seminary,mccormick.edu,5.54,259,1349,http://wave.webaim.org/report?url=https://www.mccormick.edu/,8,59,41,25,24,102
152,UC Clermont | University Of Cincinnati,ucclermont.edu,4.64,1292,1736,http://wave.webaim.org/report?url=www.ucclermont.edu/,0,7,16,37,73,1159
153,Page Not Found,bluehills.org/postgraduate-practical-nursing-program,2.63,254,798,http://wave.webaim.org/report?url=www.bluehills.org/postgraduate-practical-nursing-program/,1,0,10,16,16,211
154,Homepage | Allegany College of Maryland,allegany.edu,10.64,334,1547,http://wave.webaim.org/report?url=www.allegany.edu/,3,31,45,36,47,172
155,Fortis Colleges & Institutes: Accredited Career Training Programs,fortis.edu,8.04,893,2454,http://wave.webaim.org/report?url=www.fortis.edu/,45,11,23,204,153,457
156,JSU - The Friendliest Campus in the South,jsu.edu,2.42,241,575,http://wave.webaim.org/report?url=www.jsu.edu/,0,0,14,53,44,130
157,Siena College,siena.edu,3.83,83,1115,http://wave.webaim.org/report?url=https://www.siena.edu/,2,1,5,28,36,11
158,Home | Avery Point : Avery Point,averypoint.uconn.edu,3.83,100,631,http://wave.webaim.org/report?url=averypoint.uconn.edu/,1,7,8,6,28,50
159,Northwestern Technological Institute - HVAC School,northwesterntech.edu,3.82,164,982,http://wave.webaim.org/report?url=www.northwesterntech.edu/,8,45,13,18,38,42
160,OSU-Cascades,osucascades.edu,3.22,77,657,http://wave.webaim.org/report?url=https://osucascades.edu/,3,3,9,14,46,2
161,G Skin & Beauty Institute | Naperville Skin Institute | Beauty School,gskinbeautyinstitute.edu,6.42,438,1302,http://wave.webaim.org/report?url=gskinbeautyinstitute.edu/,55,51,162,44,71,55
162,Home | Fosbre Academy of Hair Design,fosbre-academy.com,2.82,168,733,http://wave.webaim.org/report?url=www.fosbre-academy.com/,3,53,32,6,25,49
