,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
74,Cochise County Community College District,Sierra Vista,AZ,cochise.edu,2,2,1,,0.0,12103.0,,2184.0,6240.0,0.3913,2,14254661.0,2922.0,7124.0,
75,Empire Beauty School-Chandler,Chandler,AZ,empire.edu,1,1,3,,0.0,,21258.0,,,,3,,43.0,,16680.0
76,Avalon Institute-Mesa,Mesa,AZ,avalon.edu/mesa-az,1,1,3,,0.0,,22898.0,,,,3,,377.0,,17354.0
77,Eastern Arizona College,Thatcher,AZ,eac.edu,2,2,1,,0.0,16509.0,,2160.0,9120.0,0.3398,2,8024464.0,3187.0,9776.0,
78,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,prescott.erau.edu,3,4,2,0.7376,0.0,56260.0,,38966.0,38966.0,0.7611,1,51768000.0,3015.0,,36270.0
79,The School of Architecture,Paradise Valley,AZ,tsoa.edu,4,4,2,,0.0,,,,,,1,806448.0,,,
80,Glendale Community College,Glendale,AZ,gccaz.edu,1,2,1,,0.0,15020.0,,2070.0,7854.0,1.0,2,,10528.0,9717.0,
81,Grand Canyon University,Phoenix,AZ,gcu.edu,3,4,3,0.8284,0.0,31393.0,,17800.0,17800.0,0.0868,1,,64210.0,,21176.0
82,GateWay Community College,Phoenix,AZ,gatewaycc.edu,1,2,1,,0.0,15327.0,,2070.0,7854.0,1.0,2,,3691.0,10356.0,
83,Mesa Community College,Mesa,AZ,mesacc.edu,2,2,1,,0.0,16002.0,,2070.0,7854.0,1.0,2,,12167.0,10850.0,
84,Mohave Community College,Kingman,AZ,mohave.edu,1,2,1,,0.0,11046.0,,2136.0,7008.0,0.3361,2,3840343.0,2622.0,6858.0,
85,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,uti.edu,1,1,3,,0.0,,24621.0,,,,2,,779.0,,20683.0
