,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
3106,Union University,Jackson,TN,uu.edu,3,4,2,0.5289,0.0,54562.0,,35510.0,35510.0,0.9736,1,45419999.0,1850.0,,27475.0
3107,Vanderbilt University,Nashville,TN,vanderbilt.edu,3,4,2,0.0714,0.0,76044.0,,56966.0,56966.0,0.8006,1,6917370802.0,7104.0,,22204.0
3108,Volunteer State Community College,Gallatin,TN,volstate.edu,2,2,1,,0.0,13332.0,,4384.0,17200.0,1.0,2,5783997.0,5796.0,6645.0,
3109,Walters State Community College,Morristown,TN,ws.edu,2,2,1,,0.0,11494.0,,4399.0,17215.0,0.4755,2,16802756.0,3761.0,4168.0,
3110,William R Moore College of Technology,Memphis,TN,mooretech.edu,1,2,2,,0.0,20381.0,,8850.0,8850.0,0.7586,2,7762055.0,351.0,,13426.0
3111,Abilene Christian University,Abilene,TX,acu.edu,3,4,2,0.7011,0.0,53368.0,,39350.0,39350.0,0.7149,1,443572575.0,3131.0,,29300.0
3112,Alvin Community College,Alvin,TX,alvincollege.edu,2,2,1,,0.0,15324.0,,1706.0,4010.0,0.2888,2,3705558.0,2961.0,8235.0,
3113,Amarillo College,Amarillo,TX,actx.edu,2,2,1,,0.0,10896.0,,2136.0,4704.0,0.3302,2,4613172.0,7206.0,4956.0,
3114,Amberton University,Garland,TX,amberton.edu,3,4,2,,0.0,,,,,0.3913,1,42589877.0,159.0,,
3115,Angelina College,Lufkin,TX,angelina.edu,1,2,1,,0.0,12489.0,,2970.0,5880.0,1.0,2,9080482.0,2664.0,9068.0,
3116,Angelo State University,San Angelo,TX,angelo.edu,3,4,1,0.7007,0.0,20712.0,,8186.0,17978.0,0.729,1,179496981.0,5418.0,13499.0,
3117,Arlington Baptist University,Arlington,TX,abu.edu,3,3,2,,0.0,27387.0,,15247.0,15247.0,0.2857,1,,213.0,,24513.0
3118,Arlington Career Institute,Grand Prairie,TX,arlingtoncareerinstitute.edu,1,1,3,,0.0,,27924.0,,,,2,,343.0,,24428.0
3119,The Art Institute of Houston,Houston,TX,artinstitutes.edu/houston,3,3,3,,0.0,36447.0,,19354.0,19354.0,0.1786,1,,380.0,,30481.0
3120,Austin College,Sherman,TX,austincollege.edu,3,4,2,0.4271,0.0,56336.0,,43525.0,43525.0,0.8819,1,155432935.0,1208.0,,22677.0
3121,Austin Community College District,Austin,TX,austincc.edu,2,3,1,,0.0,12064.0,,2550.0,10590.0,0.3977,1,10252346.0,26378.0,6612.0,
3122,Austin Presbyterian Theological Seminary,Austin,TX,austinseminary.edu,4,4,2,,0.0,,,,,1.0,1,127351423.0,,,
3123,Baldwin Beauty School-South Austin,Austin,TX,baldwinbeautyschools.com,1,1,3,,0.0,,21222.0,,,,3,,41.0,,18790.0
3124,Baptist Health System School of Health Professions,San Antonio,TX,bshp.edu,2,3,3,,0.0,,,,,0.6346,1,,508.0,,
3125,Baptist Missionary Association Theological Seminary,Jacksonville,TX,bmats.edu,3,4,2,0.85,0.0,,,7650.0,7650.0,,1,1400790.0,51.0,,
3126,Baylor College of Medicine,Houston,TX,bcm.edu,4,4,2,,0.0,,,,,0.9006,1,1205390680.0,,,
3127,Baylor University,Waco,TX,baylor.edu,3,4,2,0.5669,0.0,67495.0,,50232.0,50232.0,0.651,1,1381438000.0,15102.0,,37248.0
3128,Coastal Bend College,Beeville,TX,coastalbend.edu,2,2,1,,0.0,10740.0,,2658.0,4968.0,0.3169,2,573556.0,1448.0,3671.0,
3129,Blinn College District,Brenham,TX,blinn.edu,2,2,1,,0.0,19764.0,,4020.0,10530.0,0.571,2,26690342.0,15486.0,18104.0,
3130,Remington College-Dallas Campus,Dallas,TX,remingtoncollege.edu/locations/dallas,1,3,2,,0.0,27267.0,,18764.0,18764.0,,1,,427.0,,22553.0
3131,Vet Tech Institute of Houston,Houston,TX,vti.edu,2,2,3,0.8387,0.0,19963.0,,15100.0,15100.0,,2,,220.0,,14070.0
3132,Brazosport College,Lake Jackson,TX,brazosport.edu,2,3,1,,0.0,9262.0,,2399.0,4585.0,1.0,1,11821348.0,2905.0,1972.0,
3133,Central Texas College,Killeen,TX,ctcd.edu,2,2,1,,0.0,13232.0,,2850.0,7440.0,1.0,2,11391244.0,5426.0,8626.0,
3134,Charles and Sues School of Hair Design,Bryan,TX,charlesandsues.com,1,1,3,,0.0,,21825.0,,,,3,,23.0,,18283.0
3135,Cisco College,Cisco,TX,cisco.edu,2,2,1,,0.0,15135.0,,3810.0,5010.0,0.4464,2,1573719.0,3019.0,6984.0,
3136,Clarendon College,Clarendon,TX,clarendoncollege.edu,2,2,1,,0.0,16421.0,,3600.0,5220.0,0.4699,2,3656958.0,1372.0,10805.0,
3137,Concordia University Texas,Austin,TX,concordia.edu,3,4,2,0.8904,0.0,46372.0,,34500.0,34500.0,1.0,1,25167705.0,1707.0,,25673.0
3138,BK Cosmo College of Cosmetology,Kerrville,TX,bkcosmo.com,1,1,3,,0.0,,21937.0,,,,3,,32.0,,17822.0
3139,North Central Texas College,Gainesville,TX,nctc.edu,2,2,1,,0.0,10068.0,,2400.0,7080.0,1.0,2,12254818.0,5697.0,6190.0,
3140,Texas A & M University-Corpus Christi,Corpus Christi,TX,tamucc.edu,3,4,1,0.9128,0.0,23035.0,,9748.0,20745.0,0.731,1,20050976.0,7969.0,17998.0,
3141,Paul Mitchell the School-Dallas,Carrollton,TX,paulmitchell.edu/dallas,1,1,3,,0.0,,31089.0,,,,3,,383.0,,26710.0
3142,Dallas Baptist University,Dallas,TX,dbu.edu,3,4,2,0.94,0.0,44558.0,,33620.0,33620.0,1.0,1,49116911.0,2717.0,,26929.0
3143,Dallas Christian College,Dallas,TX,dallas.edu,3,3,2,0.1655,0.0,32230.0,,19236.0,19236.0,0.3171,1,334916.0,263.0,,22841.0
3144,Dallas Institute of Funeral Service,Dallas,TX,dallasinstitute.edu,2,2,2,,0.0,22086.0,,13315.0,13315.0,,2,,595.0,,18169.0
3145,Dallas Theological Seminary,Dallas,TX,dts.edu,4,4,2,,0.0,,,,,1.0,1,51884313.0,,,
3146,University of Dallas,Irving,TX,udallas.edu,3,4,2,0.5836,0.0,59600.0,,46864.0,46864.0,0.6435,1,74867000.0,1496.0,,20636.0
3147,Del Mar College,Corpus Christi,TX,delmar.edu,2,2,1,,0.0,11516.0,,3320.0,5930.0,1.0,1,25404994.0,9779.0,5224.0,
3148,East Texas Baptist University,Marshall,TX,etbu.edu,3,4,2,0.6452,0.0,40227.0,,27980.0,27980.0,1.0,1,67204899.0,1321.0,,22832.0
3149,Texas A&M University-Texarkana,Texarkana,TX,tamut.edu,3,4,1,0.9601,0.0,22050.0,,7930.0,20659.0,0.6566,1,9569770.0,1762.0,14204.0,
3150,Texas A & M University-Commerce,Commerce,TX,tamuc.edu,3,4,1,0.8666,0.0,23353.0,,10026.0,22266.0,0.9898,1,30171830.0,7517.0,13931.0,
3151,Dallas College,Dallas,TX,dallascollege.edu/pages/default.aspx,2,2,1,,0.0,9834.0,,2370.0,6000.0,0.3872,1,,42033.0,3704.0,
3152,El Paso Community College,El Paso,TX,epcc.edu,2,2,1,,0.0,12037.0,,3274.0,5314.0,0.5056,2,781293.0,24423.0,3767.0,
3153,Western Technical College,El Paso,TX,westerntech.edu,2,3,3,,0.0,,21472.0,,,0.6,1,,566.0,,17661.0
3154,Western Technical College,El Paso,TX,westerntech.edu,1,3,3,,0.0,,34082.0,,,0.7207,1,,1303.0,,30635.0
3155,Episcopal Theological Seminary of the Southwest,Austin,TX,ssw.edu,4,4,2,,0.0,,,,,0.4722,1,35801704.0,,,
3156,Exposito School of Hair Design,Amarillo,TX,expositoschoolofhair.com,1,1,3,,0.0,,21630.0,,,,3,,34.0,,17208.0
3157,Miami International University of Art & Design-Art Institute Dallas,Dallas,TX,artinstitutes.edu/dallas,3,3,3,,0.0,39419.0,,19354.0,19354.0,0.0909,1,,322.0,,33674.0
3158,Fort Worth Beauty School,Benbrook,TX,fortworthbeautyschoolinc.com,1,1,3,,0.0,,22393.0,,,,3,,59.0,,17006.0
3159,Frank Phillips College,Borger,TX,fpctx.edu,2,2,1,,0.0,11056.0,,3308.0,4388.0,1.0,2,2097286.0,777.0,5786.0,
3160,Galveston College,Galveston,TX,gc.edu,1,3,1,,0.0,11988.0,,2290.0,5200.0,0.5631,1,,1489.0,6004.0,
3161,Grayson College,Denison,TX,grayson.edu,1,3,1,,0.0,9575.0,,2782.0,5482.0,0.5606,1,13418130.0,2728.0,3170.0,
3162,Hallmark University,San Antonio,TX,hallmarkuniversity.edu,3,4,2,0.5609,0.0,,15362.0,,,0.4342,1,,844.0,,10708.0
3163,Hardin-Simmons University,Abilene,TX,hsutx.edu,3,4,2,0.9459,0.0,44456.0,,31686.0,31686.0,0.5465,1,187850376.0,1459.0,,21916.0
3164,Trinity Valley Community College,Athens,TX,tvcc.edu,2,2,1,,0.0,13692.0,,2640.0,5970.0,0.6299,1,6807742.0,4597.0,5936.0,
3165,Hill College,Hillsboro,TX,hillcollege.edu,2,2,1,,0.0,12784.0,,2382.0,3382.0,0.4251,2,11436585.0,1973.0,8564.0,
3166,Houston Baptist University,Houston,TX,hbu.edu,3,4,2,0.8487,0.0,43927.0,,35500.0,35500.0,0.4627,1,111223114.0,2773.0,,18745.0
3167,University of Houston-Clear Lake,Houston,TX,uhcl.edu,3,4,1,0.9119,0.0,27188.0,,7698.0,20994.0,0.9964,1,29961700.0,6747.0,15502.0,
3168,Houston Community College,Houston,TX,hccs.edu,2,2,1,,0.0,12028.0,,2040.0,5460.0,0.3598,2,10499140.0,38181.0,6905.0,
3169,University of Houston-Downtown,Houston,TX,uhd.edu,3,4,1,0.9484,0.0,21607.0,,7708.0,17524.0,0.5134,1,47524636.0,13515.0,13100.0,
3170,University of Houston-Victoria,Victoria,TX,uhv.edu,3,4,1,0.5335,0.0,21013.0,,7499.0,17291.0,0.64,1,18001469.0,2956.0,10872.0,
3171,University of Houston,Houston,TX,uh.edu,3,4,1,0.6552,0.0,24014.0,,9699.0,21891.0,0.7851,1,930029968.0,37553.0,13798.0,
3172,Howard College,Big Spring,TX,howardcollege.edu,2,2,1,,0.0,13502.0,,2570.0,5430.0,1.0,2,5911283.0,1790.0,7456.0,
3173,Howard Payne University,Brownwood,TX,hputx.edu,3,4,2,0.5926,0.0,41266.0,,30178.0,30178.0,1.0,1,59641734.0,775.0,,23310.0
3174,Huston-Tillotson University,Austin,TX,htu.edu,3,4,2,0.5003,0.0,17640.0,,14703.0,14703.0,0.5,1,10954922.0,990.0,,10311.0
3175,University of the Incarnate Word,San Antonio,TX,uiw.edu,3,4,2,0.9422,0.0,43915.0,,33100.0,33100.0,0.5097,1,143846947.0,4689.0,,21244.0
3176,Jacksonville College-Main Campus,Jacksonville,TX,jacksonvillecollege.edu,2,2,2,,0.0,16073.0,,5940.0,5940.0,0.2,2,1243844.0,227.0,,10497.0
3177,Jarvis Christian University,Hawkins,TX,jarvis.edu,3,3,2,,0.0,25083.0,,11720.0,11720.0,0.3505,1,7397757.0,717.0,,11550.0
3178,KD Conservatory College of Film and Dramatic Arts,Dallas,TX,kdstudio.com,2,2,3,0.519,0.0,27388.0,,16883.0,16883.0,,2,,117.0,,21395.0
3179,Kilgore College,Kilgore,TX,kilgore.edu,2,2,1,,0.0,13581.0,,2160.0,5256.0,0.3603,2,22170293.0,3341.0,5487.0,
3180,Lamar University,Beaumont,TX,lamar.edu,3,4,1,0.8806,0.0,21356.0,,8690.0,18482.0,0.8049,1,133182264.0,7881.0,13351.0,
3181,Lamar State College-Orange,Orange,TX,lsco.edu,1,2,1,,0.0,7852.0,,3192.0,13320.0,0.5347,2,5646310.0,1458.0,2253.0,
3182,Lamar State College-Port Arthur,Port Arthur,TX,lamarpa.edu,2,2,1,,0.0,12583.0,,2400.0,7890.0,0.6098,2,7815182.0,2274.0,6775.0,
3183,Laredo Beauty College Inc,Laredo,TX,laredobeautycollege.net,1,1,3,,0.0,,10552.0,,,,3,,124.0,,5710.0
3184,Laredo College,Laredo,TX,laredo.edu,2,3,1,,0.0,11346.0,,3300.0,5748.0,0.5396,1,3287305.0,8013.0,5755.0,
3185,Texas A & M International University,Laredo,TX,tamiu.edu,3,4,1,0.5438,0.0,14898.0,,7845.0,19358.0,0.5878,1,52480437.0,6352.0,4667.0,
3186,Lee College,Baytown,TX,lee.edu,1,2,1,,0.0,10961.0,,2166.0,4302.0,0.4129,2,383122.0,7118.0,5939.0,
3187,LeTourneau University,Longview,TX,letu.edu,3,4,2,0.5419,0.0,45711.0,,33490.0,33490.0,0.3462,1,22868311.0,1623.0,,23991.0
3188,Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,lincolntech.edu/campus/grand-prairie-tx,1,2,3,,0.0,,36451.0,,,0.9467,2,,1387.0,,31904.0
3189,Lubbock Christian University,Lubbock,TX,lcu.edu,3,4,2,0.9518,0.0,38035.0,,24900.0,24900.0,0.5146,1,22815546.0,1275.0,,24311.0
3190,College of the Mainland,Texas City,TX,com.edu,2,2,1,,0.0,8428.0,,1773.0,3873.0,0.9912,1,2615669.0,2750.0,2398.0,
3191,University of Mary Hardin-Baylor,Belton,TX,go.umhb.edu,3,4,2,0.9934,0.0,44214.0,,31500.0,31500.0,1.0,1,92798617.0,3176.0,,29986.0
3192,McLennan Community College,Waco,TX,mclennan.edu,2,2,1,,0.0,13373.0,,3640.0,5910.0,0.5262,2,11521908.0,5467.0,6649.0,
3193,McMurry University,Abilene,TX,mcm.edu,3,4,2,0.7835,0.0,43389.0,,29400.0,29400.0,1.0,1,95636072.0,1115.0,,22602.0
3194,Covenant School of Nursing and Allied Health,Lubbock,TX,covenanthealth.org/cson,1,1,2,,0.0,,,,,,2,,377.0,,
3195,Midland College,Midland,TX,midland.edu,1,3,1,,0.0,11503.0,,2940.0,5880.0,0.4681,1,48585622.0,4818.0,3749.0,
3196,Midwestern State University,Wichita Falls,TX,msutexas.edu,3,4,1,0.946,0.0,20142.0,,9954.0,11904.0,0.7139,1,91267383.0,4832.0,10203.0,
3197,William Edge Institute,New Braunfels,TX,williamedgeinstitute.com,1,1,3,,0.0,,25164.0,,,,3,,56.0,,20070.0
3198,Wade College,Dallas,TX,wadecollege.edu,2,3,3,,0.0,23763.0,,15673.0,15673.0,0.5,1,,216.0,,19759.0
3199,Southern Careers Institute-Austin,Austin,TX,scitexas.edu,1,2,3,,0.0,,24655.0,,,0.75,2,,1013.0,,21391.0
3200,Tint School of Makeup & Cosmetology,Irving,TX,tintcosmetologyschools.com,1,1,3,,0.0,,18891.0,,,,3,,88.0,,12828.0
3201,Navarro College,Corsicana,TX,navarrocollege.edu,2,2,1,,0.0,16864.0,,2798.0,6368.0,0.3535,2,4328471.0,6565.0,13520.0,
3202,Lone Star College System,The Woodlands,TX,lonestar.edu,2,2,1,,0.0,14166.0,,2160.0,6168.0,1.0,1,18250025.0,49093.0,8654.0,
3203,University of North Texas,Denton,TX,unt.edu,3,4,1,0.8142,0.0,22558.0,,11090.0,20906.0,0.7238,1,223931433.0,32590.0,12006.0,
3204,Northeast Texas Community College,Mount Pleasant,TX,ntcc.edu,2,2,1,,0.0,14353.0,,3149.0,6449.0,1.0,2,6698434.0,1795.0,9907.0,
3205,Oblate School of Theology,San Antonio,TX,ost.edu,4,4,2,,0.0,,,,,0.84,1,25993999.0,,,
3206,Ocean Corporation,Houston,TX,oceancorp.com,1,1,3,,0.0,,32321.0,,,,3,,174.0,,28089.0
3207,Odessa College,Odessa,TX,odessa.edu,2,3,1,,0.0,10866.0,,2280.0,4401.0,0.3621,1,12816355.0,4537.0,6754.0,
3208,Ogle School Hair Skin Nails-Arlington,Arlington,TX,ogleschool.edu,1,1,3,,0.0,,24923.0,,,,3,,284.0,,20421.0
3209,Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,ogleschool.edu,1,1,3,,0.0,,24073.0,,,,3,,338.0,,20386.0
3210,Our Lady of the Lake University,San Antonio,TX,ollusa.edu,3,4,2,0.6578,0.0,39593.0,,29926.0,29926.0,0.4296,1,28253159.0,1188.0,,17926.0
3211,The University of Texas Rio Grande Valley,Edinburg,TX,utrgv.edu,3,4,1,0.939,0.0,14970.0,,9541.0,19333.0,0.8241,1,68743182.0,26402.0,5363.0,
3212,Texas Southmost College,Brownsville,TX,tsc.edu,2,2,1,,0.0,10218.0,,3148.0,4948.0,0.3288,2,219865.0,3865.0,5590.0,
3213,Panola College,Carthage,TX,panola.edu,1,2,1,,0.0,14068.0,,2112.0,4680.0,1.0,2,11396822.0,1539.0,5368.0,
3214,Paris Junior College,Paris,TX,parisjc.edu,1,2,1,,0.0,13339.0,,2460.0,5460.0,0.5423,2,21872809.0,2418.0,7251.0,
3215,Paul Quinn College,Dallas,TX,pqc.edu,3,3,2,0.8738,0.0,14492.0,,10672.0,10672.0,0.4412,1,2913488.0,384.0,,5529.0
3216,Prairie View A & M University,Prairie View,TX,pvamu.edu,3,4,1,0.77,0.0,25513.0,,11299.0,26874.0,0.8695,1,86536536.0,8444.0,14847.0,
3217,Ranger College,Ranger,TX,rangercollege.edu,2,2,1,,0.0,11763.0,,4100.0,7400.0,0.3401,2,,2066.0,4167.0,
3218,Aviation Institute of Maintenance-Houston,Houston,TX,aviationmaintenance.edu/campuses/houston-tx,1,1,3,,0.0,27415.0,,16757.0,16757.0,,2,,244.0,,22210.0
3219,Rice University,Houston,TX,rice.edu,3,4,2,0.0948,0.0,69557.0,,52895.0,52895.0,0.8037,1,6166323000.0,4240.0,,17805.0
3220,Saint Edward's University,Austin,TX,stedwards.edu,3,4,2,0.9217,0.0,59776.0,,49996.0,49996.0,0.4648,1,110657639.0,2867.0,,21232.0
3221,St Philip's College,San Antonio,TX,alamo.edu/spc,2,2,1,,0.0,11616.0,,3112.0,14122.0,0.5819,2,,8900.0,5273.0,
3222,University of St Thomas,Houston,TX,stthom.edu,3,4,2,0.9842,0.0,42402.0,,31560.0,31560.0,0.904,1,108166797.0,2603.0,,18241.0
3223,Sam Houston State University,Huntsville,TX,shsu.edu,3,4,1,0.9658,0.0,23209.0,,8960.0,18752.0,0.7814,1,133127466.0,18288.0,15446.0,
3224,San Antonio College,San Antonio,TX,alamo.edu/sac,2,2,1,,0.0,11405.0,,3112.0,14122.0,0.5085,2,,14741.0,5157.0,
3225,San Jacinto Community College,Pasadena,TX,sanjac.edu,2,2,1,,0.0,14550.0,,1872.0,5040.0,0.3982,1,6816178.0,23993.0,9644.0,
3226,Schreiner University,Kerrville,TX,schreiner.edu,3,4,2,0.8378,0.0,43090.0,,33927.0,33927.0,0.6263,1,72991869.0,967.0,,24028.0
3227,Seguin Beauty School-Seguin,Seguin,TX,seguinbeautyschool.net,1,1,3,,0.0,,23089.0,,,,3,,18.0,,18399.0
3228,St. Mary's University,San Antonio,TX,stmarytx.edu,3,4,2,0.8846,0.0,42657.0,,34564.0,34564.0,0.6205,1,200145026.0,2083.0,,17120.0
3229,South Plains College,Levelland,TX,southplainscollege.edu,2,2,1,,0.0,12190.0,,2260.0,4276.0,0.4859,2,25328322.0,6714.0,7258.0,
3230,South Texas Barber College Inc,Corpus Christi,TX,southtexasbarbercollege.net,1,1,3,,0.0,,11343.0,,,,3,,14.0,,8066.0
3231,South Texas College of Law Houston,Houston,TX,stcl.edu,4,4,2,,0.0,,,,,0.4031,1,45244123.0,,,
3232,South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,stvt.edu,1,1,3,,0.0,,23782.0,,,,3,,332.0,,18339.0
3233,Miller-Motte College-STVT-McAllen,McAllen,TX,stvt.edu,1,1,3,,0.0,,25663.0,,,,3,,444.0,,20508.0
3234,Southern Methodist University,Dallas,TX,smu.edu,3,4,2,0.5313,0.0,76600.0,,60236.0,60236.0,0.6591,1,1614131000.0,6894.0,,40452.0
3235,Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,sws.edu,1,1,3,,0.0,,26507.0,,,,3,,19.0,,19816.0
3236,Southwest Texas Junior College,Uvalde,TX,swtjc.edu,2,2,1,,0.0,13511.0,,2502.0,5886.0,0.7317,2,2147829.0,2950.0,6753.0,
3237,Southwestern Assemblies of God University,Waxahachie,TX,sagu.edu,3,4,2,0.8541,0.0,34300.0,,17404.0,17404.0,0.5074,1,9176788.0,1469.0,,22440.0
3238,Southwestern University,Georgetown,TX,southwestern.edu,3,3,2,0.5104,0.0,58972.0,,47000.0,47000.0,0.7919,1,289412311.0,1500.0,,25451.0
3239,Stephen F Austin State University,Nacogdoches,TX,sfasu.edu,3,4,1,0.8313,0.0,24550.0,,10600.0,21616.0,0.7011,1,103090368.0,9515.0,15708.0,
3240,Texas State University,San Marcos,TX,txst.edu,3,4,1,0.6999,0.0,25449.0,,11135.0,22559.0,0.7547,1,225519535.0,33175.0,17033.0,
3241,Southwestern Adventist University,Keene,TX,swau.edu,3,4,2,0.5751,0.0,33292.0,,23508.0,23508.0,0.9787,1,15356063.0,818.0,,17231.0
3242,Southwestern Christian College,Terrell,TX,swcc.edu,2,3,2,,0.0,16448.0,,8368.0,8368.0,0.5238,1,,92.0,,10198.0
3243,Sul Ross State University,Alpine,TX,sulross.edu,3,4,1,1.0,0.0,23310.0,,9004.0,21244.0,0.5455,1,25542620.0,1603.0,15192.0,
3244,Tarleton State University,Stephenville,TX,tarleton.edu,3,4,1,0.5681,0.0,21849.0,,7790.0,17582.0,0.6337,1,66133261.0,11666.0,19151.0,
3245,Tarrant County College District,Fort Worth,TX,tccd.edu,2,2,1,,0.0,11591.0,,1728.0,8235.0,0.3731,2,,35075.0,6326.0,
3246,Temple College,Temple,TX,templejc.edu,2,2,1,,0.0,10402.0,,2736.0,6432.0,1.0,2,7230988.0,3038.0,5276.0,
3247,University of Texas Southwestern Medical Center,Dallas,TX,utsouthwestern.edu,4,4,1,,0.0,,,,,1.0,1,1639356608.0,,,
3248,The University of Texas Health Science Center at San Antonio,San Antonio,TX,uthscsa.edu,3,4,1,,0.0,,,,,0.7394,1,662571771.0,787.0,,
3249,The University of Texas Medical Branch at Galveston,Galveston,TX,utmb.edu,3,4,1,,0.0,,,,,0.9783,1,659180343.0,672.0,,
3250,Texarkana College,Texarkana,TX,texarkanacollege.edu,2,2,1,,0.0,12368.0,,2404.0,5236.0,0.6,2,11935105.0,2672.0,5383.0,
3251,Texas A & M University-Kingsville,Kingsville,TX,tamuk.edu,3,4,1,0.9287,0.0,22574.0,,9892.0,25746.0,0.8196,1,115845517.0,4755.0,11524.0,
3252,Texas A & M University-College Station,College Station,TX,tamu.edu,3,4,1,0.6428,0.0,31242.0,,13239.0,40134.0,0.8635,1,12734068157.0,56006.0,20976.0,
3253,The University of Texas at Arlington,Arlington,TX,uta.edu,3,4,1,0.927,0.0,24266.0,,11727.0,29299.0,0.6031,1,173354658.0,32658.0,15627.0,
3254,The University of Texas at Austin,Austin,TX,utexas.edu,3,4,1,0.2875,0.0,28571.0,,11752.0,40996.0,0.8377,1,4694067678.0,40506.0,17519.0,
3255,The University of Texas at Dallas,Richardson,TX,utdallas.edu,3,4,1,0.8721,0.0,28002.0,,14564.0,39776.0,0.7496,1,602745513.0,21416.0,17033.0,
3256,The University of Texas at El Paso,El Paso,TX,utep.edu,3,4,1,0.9998,0.0,18962.0,,9744.0,25152.0,0.6956,1,278287474.0,20008.0,10798.0,
3257,The University of Texas at Tyler,Tyler,TX,uttyler.edu,3,4,1,0.9388,0.0,21156.0,,9596.0,25142.0,0.786,1,152993615.0,6752.0,11223.0,
3258,Texas Chiropractic College Foundation Inc,Pasadena,TX,txchiro.edu,4,4,2,,0.0,,,,,0.963,1,5215190.0,,,
3259,Texas Christian University,Fort Worth,TX,tcu.edu,3,4,2,0.5361,0.0,71229.0,,51660.0,51660.0,0.9986,1,1584160000.0,10215.0,,39155.0
3260,Texas College,Tyler,TX,texascollege.edu,3,3,2,,0.0,19400.0,,10008.0,10008.0,0.7838,1,6269159.0,731.0,,15539.0
3261,University of North Texas Health Science Center,Fort Worth,TX,unthsc.edu,4,4,1,,0.0,,,,,,1,83415062.0,,,
3262,Texas Lutheran University,Seguin,TX,tlu.edu,3,4,2,0.6293,0.0,43811.0,,32970.0,32970.0,0.5789,1,90678069.0,1400.0,,19069.0
3263,The University of Texas Permian Basin,Odessa,TX,utpb.edu,3,4,1,0.6469,0.0,20947.0,,8806.0,21460.0,0.4735,1,52885445.0,3443.0,8106.0,
3264,The University of Texas at San Antonio,San Antonio,TX,utsa.edu,3,4,1,0.905,0.0,19461.0,,9231.0,21528.0,0.7763,1,181428767.0,29151.0,10489.0,
3265,Texas Southern University,Houston,TX,tsu.edu,3,4,1,0.6305,0.0,23898.0,,9173.0,21413.0,0.6603,1,67878998.0,5726.0,18000.0,
3266,Texas Tech University,Lubbock,TX,ttu.edu,3,4,1,0.6786,0.0,24618.0,,11852.0,24122.0,0.8187,1,744155860.0,32414.0,17313.0,
3267,Texas Wesleyan University,Fort Worth,TX,txwes.edu,3,4,2,0.5753,0.0,47527.0,,34412.0,34412.0,0.3355,1,57816546.0,1454.0,,20526.0
3268,Texas Woman's University,Denton,TX,twu.edu,3,4,1,0.957,0.0,19976.0,,8394.0,18186.0,0.9867,1,85540579.0,9035.0,11726.0,
3269,Trinity University,San Antonio,TX,new.trinity.edu,3,4,2,0.3372,0.0,62596.0,,47392.0,47392.0,0.7793,1,1278972293.0,2509.0,,18637.0
3270,The University of Texas Health Science Center at Houston,Houston,TX,uth.edu,3,4,1,,0.0,,,,,0.6877,1,619455276.0,685.0,,
3271,Texas Tech University Health Sciences Center,Lubbock,TX,ttuhsc.edu,3,4,1,,0.0,,,,,0.9481,1,218927121.0,1468.0,,
3272,Tyler Junior College,Tyler,TX,tjc.edu,2,3,1,,0.0,15784.0,,2962.0,5482.0,0.5008,1,84841790.0,9288.0,9885.0,
3273,Universal Technical Institute of Texas Inc.,Houston,TX,uti.edu,1,1,3,,0.0,,23624.0,,,,2,,1868.0,,18754.0
3274,UCAS University of Cosmetology Arts & Sciences-McAllen,McAllen,TX,ucastx.com,1,1,3,,0.0,,20246.0,,,,3,,155.0,,13196.0
3275,Vernon College,Vernon,TX,vernoncollege.edu,1,2,1,,0.0,12931.0,,3720.0,6120.0,0.5629,2,6713404.0,2339.0,6152.0,
3276,Victoria Beauty & Barber College,Victoria,TX,victoriabeautyandbarbercollege.com,1,1,3,,0.0,,18292.0,,,,3,,97.0,,15585.0
3277,Victoria College,Victoria,TX,victoriacollege.edu,2,2,1,,0.0,11079.0,,2568.0,4872.0,0.3511,2,22801693.0,2514.0,5404.0,
3278,Vogue College of Cosmetology-McAllen,McAllen,TX,vogue.edu,1,1,3,,0.0,,27735.0,,,,3,,264.0,,21607.0
3279,Wayland Baptist University,Plainview,TX,wbu.edu,3,4,2,0.8076,0.0,34873.0,,22004.0,22004.0,1.0,1,88726767.0,2393.0,,23601.0
3280,Weatherford College,Weatherford,TX,wc.edu,2,2,1,,0.0,15195.0,,3660.0,7800.0,1.0,1,9951848.0,3873.0,9925.0,
3281,West Texas A & M University,Canyon,TX,wtamu.edu,3,4,1,0.9704,0.0,20586.0,,9202.0,11208.0,0.8364,1,92338237.0,7015.0,18060.0,
3282,Western Texas College,Snyder,TX,wtc.edu,2,2,1,,0.0,12525.0,,2970.0,5340.0,1.0,2,,527.0,3035.0,
3283,Wharton County Junior College,Wharton,TX,wcjc.edu,2,2,1,,0.0,9865.0,,2400.0,4872.0,0.6107,2,11146186.0,4918.0,5549.0,
